Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status
rospy.Time[1638475965461914864],-65.07702053833333,44.954979611666666,8.598000000000003,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475965662476686],-65.07702165666667,44.95498681666667,8.623000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475965875120144],-65.077022225,44.95499435833333,8.633000000000003,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475966070229731],-65.07702163833333,44.955002025,8.654,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475966272157772],-65.07702069166666,44.955009698333335,8.683,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475966471164882],-65.07701921666667,44.95501761166667,8.686,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475966662599863],-65.07701638666667,44.955025471666666,8.699000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475966859961421],-65.07701260166667,44.955033363333335,8.713000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475967070139638],-65.07700774166666,44.95504112166667,8.727,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475967262094329],-65.07700217333333,44.95504886,8.743000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475967477100733],-65.07699554166666,44.95505632166667,8.763000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475967665832367],-65.07698803166667,44.95506365666667,8.766000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475967865775573],-65.076979715,44.95507070166666,8.767,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475968071014135],-65.07697043333333,44.95507745166667,8.784000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475968267944577],-65.07696059333334,44.955084025,8.79,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475968463610735],-65.07694992333333,44.95509030833333,8.799,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475968660645593],-65.07693851666667,44.95509604333333,8.808,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475968857023163],-65.07692649833334,44.955101328333335,8.811999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475969074433123],-65.07691374333334,44.95510630333333,8.820999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475969260977626],-65.07690040833333,44.95511085333333,8.832999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475969462806526],-65.07688670333333,44.955115165,8.84,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475969672822519],-65.07687258833333,44.95511918166667,8.863,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475969855514907],-65.07685811166667,44.95512301,8.878999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475970065146700],-65.07684335333333,44.95512680833333,8.881999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475970266897266],-65.07682840666666,44.95513057833333,8.886999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475970461773337],-65.07681308833334,44.95513423333333,8.91,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475970655736267],-65.07679746666666,44.95513794333333,8.928999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475970872045528],-65.07678186166666,44.955141975,8.948999999999998,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475971071675867],-65.07676575333333,44.95514592166667,8.956,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475971264045061],-65.07674947833333,44.95514987,8.953999999999997,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475971466100228],-65.07673289166667,44.955153915,8.974999999999998,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475971672988949],-65.07671612166666,44.95515816166667,8.979999999999997,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475971859028307],-65.076698855,44.955162513333335,8.971999999999998,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475972066733281],-65.07668144333333,44.95516683333334,8.971,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475972257137818],-65.07666376666667,44.955171328333336,8.968999999999998,0.0004,0.0004,0.0064,2.0
