Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475963069770616],-65.07695238,44.95491818,8.355,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475963260860662],-65.07696174,44.9549211,8.374,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475963468031403],-65.07697056,44.95492467,8.386,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475963671457588],-65.07697877,44.95492861,8.418,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475963864926626],-65.07698621,44.95493291,8.448,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475964059816457],-65.07699283,44.95493771,8.465,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475964258890540],-65.07699869,44.95494278,8.48,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475964463444674],-65.07700398,44.954948,8.5,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475964658174388],-65.07700864,44.95495359,8.518,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475964860905873],-65.07701268,44.95495967,8.543,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475965080043497],-65.07701608,44.95496595,8.558,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475965268716581],-65.07701875,44.95497262,8.573,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475965461914864],-65.07702054,44.95497961,8.598,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475965662476686],-65.07702166,44.95498682,8.623,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475965875120144],-65.07702223,44.95499436,8.633,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475966070229731],-65.07702164,44.95500203,8.654,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475966272157772],-65.07702069,44.9550097,8.683,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475966471164882],-65.07701922,44.95501761,8.686,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475966662599863],-65.07701639,44.95502547,8.699,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475966859961421],-65.0770126,44.95503336,8.713,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475967070139638],-65.07700774,44.95504112,8.727,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475967262094329],-65.07700217,44.95504886,8.743,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475967477100733],-65.07699554,44.95505632,8.763,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475967665832367],-65.07698803,44.95506366,8.766,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475967865775573],-65.07697972,44.9550707,8.767,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475968071014135],-65.07697043,44.95507745,8.784,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475968267944577],-65.07696059,44.95508403,8.79,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475968463610735],-65.07694992,44.95509031,8.799,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475968660645593],-65.07693852,44.95509604,8.808,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475968857023163],-65.0769265,44.95510133,8.812,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475969074433123],-65.07691374,44.9551063,8.821,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475969260977626],-65.07690041,44.95511085,8.833,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475969462806526],-65.0768867,44.95511517,8.84,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475969672822519],-65.07687259,44.95511918,8.863,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475969855514907],-65.07685811,44.95512301,8.879,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
